url,title,author,createdAt,content
https://www.dcard.tw/f/pet/p/258432630,幼貓送養,______fan_,2025-04-01T16:33:10.867Z,"姓名：
年齡：約2個月，已斷奶
品種：米克斯（虎斑）
性別：母
地點：新竹市
健康狀況：已做驅蟲，獸醫檢查算初步判斷算健康

在公司附近救助的，家中已有3隻原住民（都是撿來的米克斯），其中一隻非常排斥外來貓，且還有一隻糖尿病老貓，醫藥費用不菲，已無法收養。
最近天氣很冷聽到他在叫怕他凍死在外面才進行援助，奈何能力有限，只希望能幫他找一個愛他的主人。
會好好篩選收養人，但也不過分干擾。"
https://www.dcard.tw/f/pet/p/258425081,貓咪送養,捏你的五花肉,2025-04-01T01:26:29.063Z,"名字：goya 
性別：女生
年齡：1歲10個月
品種：米克斯混美短深色那隻
已經結紮
提供一包4公斤飼料皇家
還有一箱罐頭貓泥
有隔離貓籠也可以送

個性很活潑喜歡撒嬌可以抱（但抱不久）
一開始看到人會害怕但不會兇會偷偷過去聞再蹭
他喜歡跟貓玩但又會緊張所以見到不認識的貓貓會哈氣才慢慢適應。

送養原因：
我現在住公婆家，但公婆不喜歡貓咪因此兩隻貓只能跟我在小套房內生活，我原本是在大樓有很多空間給他跑，所以小貓很不適應每天都會哀嚎⋯ಥ_
但因為我現在身心狀況沒辦法繼續上班⋯所以我也沒能力搬出去。 


所以希望小貓可以到一個好人家，會慎選領養人
-半年內偶爾回傳狀態
-工作穩定
-愛貓
-地點在南投市靠台中
真的希望他到一個他舒服的地方生活才送養，如果認養後發現不適合養貓請退回來給我～"
https://www.dcard.tw/f/pet/p/258417382,送養／三花貓貓🐱in 台南,泰拉在這裡,2025-03-31T05:32:52.036Z,"生活上有不可控因素需要送養
希望找尋善良的愛貓人❤️
#名字：冰塊🧊
#性別：女
#年紀：六歲左右
#品種：三花

已打晶片、結扎、三合一疫苗💉

冰塊有嫁妝歐！
會給貓砂盆、食盆、貓窩、零食、貓抓板、貓毛梳～

🐱背景故事：曾經被虐待過所以需要一定的時間去讓牠培養熟悉❤️‍🩹相處久了會讓摸摸跟抱抱，也可以一起睡覺，多摸牠下巴牠很喜歡

🔆如果你是有耐心的好主人歡迎留言orㄙ🙋‍♀️
🔆努力幫冰塊找溫暖的家🧊

🧊冰塊形象照👇"
https://www.dcard.tw/f/pet/p/258416198,小奶貓送養,名字倒過來,2025-03-31T06:18:48.355Z,"更新
小貓全數找到家了～感謝所有領養人
—————————————————————
在工地撿到5隻小奶貓，都是全黑色的，已經開眼，約2週大而已，貓媽媽出車禍過世了，希望有餵奶經驗的人可以接手。
在新北泰山，靠近桃園龜山.林口
順便分享家裡3隻也是工地小朋友，從小奶大的2貓1狗"
https://www.dcard.tw/f/pet/p/258413345,送養超親人貓貓,實踐大學,2025-04-01T03:41:08.725Z,"#超親人貓貓找有緣人家
#極度不親貓
名字：小夜
年紀：約3歲，已結紮剪耳
性別：公貓

小夜是非常親人的流浪貓，會主動找人蹭蹭、跳到大腿上坐
剛撿到的時候身上傷痕累累，現在已經治好毛髮漂漂亮亮、非常健康，胖胖嘟嘟超級可愛

因為流浪期間跟野貓打架，感染愛滋病且*非常不親貓*
領養者必須要是單貓家庭為主唷～

領養條件：
1.需要有穩定的經濟收入
2.必須是單貓家庭，不建議再養第二隻貓
3.家裡有做好防護，了解愛滋病貓的狀況
4.前兩個月回傳照片給我 讓我知道牠在新家過得很好

地點在新北三重
有喜歡小夜的都可以私訊問問喔！

#送養
#三重
#不遛貓 #不放養
#自介回傳居家環境影片"
https://www.dcard.tw/f/pet/p/258385778,台南貓咪送養。再次回到原點等家的貓咪們～,lpc,2025-03-27T13:51:42.269Z,"#台南市
#貓咪送養～

#白底虎斑貓（約3.5個月）
#麒麟尾虎斑貓（約4.5個月）
#三花虎斑貓（約7個月）// 已結紮。

…………………………………………………………

🌟心碎 /// 
心疼貓咪們該用什麼方式才能讓他她們再次感受到「原本有家」的幸福感呢？

🌟他她們，原本已經有了家與家人，
曾經，領養人對貓咪的承諾還迴盪在送養人與貓咪們的腦海中。

🌟太多不想養、無法繼續照顧貓咪的理由，
聽起來好像很有理也很令人同情。
但，仍無法粉飾曾經的承諾。


#她們還有機會等到 下一站 的幸福嗎？


人與貓
貓與人
相互陪伴～


#歡迎私訊了解「再次回到原點找家的貓咪們」的相關資訊。

……………………………………………………….

#每一個孤苦無依的流浪動物，都希望透過善意的領養而獲得新生！

#請考慮好自身情況，再決定是否領養貓咪。

#請支持領養代替購買～

#終身不棄養。
#不虐待！"
https://www.dcard.tw/f/pet/p/258379623,小賓士送養,hydra,2025-03-27T02:54:56.098Z,"小賓士送養，約二個月大，送去醫院點驅蟲藥劑時忘了看性別，個性很貪玩屁顛，因小貓晚上會叫；有養貓經驗者佳，貓在土城，意可到下面fb認養文私訊我，並自我介紹下，謝謝。

會嚴格篩選，
認養需作基本門窗防護與簽認養約定書。
跟屁貓×貓咪救援、中途及送養 |...
小賓士送養，約二個月大，送去醫院點驅蟲藥劑時忘了看性別，個性很貪玩屁顛，因小貓晚上會叫；有養貓經驗者佳，貓在土城，意請私訊。 認養需作基本門窗防護與簽認養約定書。
www.facebook.com"
https://www.dcard.tw/f/pet/p/258375170,代送養/親人外向適應力超好貓咪送養～🐈,淡江大學,2025-03-26T13:15:39.614Z,"她是鄰居搬家棄養的貓咪
帶去醫院看無晶片、已結紮、大概2歲的可愛女生，
很親人、很愛討摸、可以抱、適應力超強，然後超愛拍屁屁，晚上會一起上床乖乖睡覺～

只吃飼料不吃貓條、罐罐，可能因為小時候沒人給她吃，所以她不知道那是什麼（？）

貓咪現在因為之前外面到處跑有小感染導致輕微打噴嚏+一點鼻涕，正在服用抗生素治療，醫生說不嚴重，乖乖吃藥就可以康復！
眼睛因為小時候可能流浪撞到，所以有一小塊白白的，但醫生說不影響什麼視力！
貓咪非常需要關愛，人在家時有點黏人，沒人在家時也完全不會亂咬、不會亂吃、不會亂抓、不會亂尿尿！！是隻天使卯咪！！！

已經洗過澡、剪過一點指甲、做好驅蟲了！
鼻子上的小傷是因為被關在籠子裡一直磨籠窗造成的（太想出來了🥲)

領養會連帶最近幫她買的家當一起給，只需要付一點點用品費用就可以了！
（家當：貓砂盆、貓砂、硬式提籠、飼料、貓抓板、貓薄荷、小玩具）

⚠️會嚴格慎選領養人，若是無法配合回答一些簡單問題，恕無法領養⚠️
⚠️領養人限20歲以上、有穩定金錢收入⚠️"
https://www.dcard.tw/f/pet/p/258372302,可愛貓貓送養🐱,靜宜大學,2025-03-26T16:51:05.768Z,"我們學校附近一直都有流浪貓，這三隻似乎是這段時間才出現的，看起來都挺年幼的，附近都有人固定投餵，但實在不忍心貓貓在路上流浪，想幫他們找個溫暖的🏠

沒打任何疫苗也沒絕育過，之後會帶他們去做健康檢查，不會跟認養人收取任何費用，若想領養全台都可以親送哦

認養條件：
❗️年滿18歲
❗️要徵求房東或同居人同意
❗️不可放養，在馬路上趴趴造太危險
❗️希望可以定期回傳照片
❗️家裡有原住民請慎重考慮
❗️有個愛貓咪的心，請不要棄養哦
🌟由於黑貓和虎斑貓是同胎出生的，希望儘量兩隻一起領養，不要讓兩隻貓分開🥺

養貓很花錢，若想領養請檢查一下自己的錢包和戶頭，慎重考慮再做決定
更～
拍到了拍到了終於拍到了
以下是影片中的貓貓個人照👇
三花貓
性別：小女生
年齡：不詳
由於性格比較溫和，很常被這一帶的其他流浪貓欺負，稍微比較膽小一點
虎斑貓
性別：不詳
年齡：2個半月大
與下面的黑貓同胎，貓媽媽行蹤不明，是個好奇寶寶，在流浪貓裡面算非常親人的
黑貓
性別：不詳
年齡：2個半月大
與上面的虎斑貓同胎，非常膽小怕生，喜歡躲在黑黑的地方跟環境融為一體
黑貓真的太難拍了，只拍到一張比較清楚的照片，白天都躲起來完全找不到"
https://www.dcard.tw/f/hamster/p/258369125,鼠寶送養🐹,小蘋果的媽,2025-03-26T01:19:43.525Z,"#送養文

品種：一線鼠🐹（目測）
性別、年齡：不確定（大約2-3個月）
送養地區：新竹市

送養原由：發文者尋求認養，因鼠寶三隻合籠，為避免合籠造成傷害，因此先帶一隻鼠寶回來協助照顧並另尋認養人～

認養人條件：
1.有養鼠的經濟能力「需有適合的籠子」（鐵籠pass)
2.一鼠一籠
3.不退貨！領養前先自己想清楚有能力且能接受每隻鼠個性不同（請勿棄養）
4.禁惡意繁殖 、禁當飼料餵食
5.第一個月定期拍張照，讓我知道他過得好(ㄧ個月過後不會打擾）

若有意願認養請下方留言～
希望能找到愛鼠寶的有緣人～

已在Facebook 社團發文～也在Dcard找尋看看！謝謝😊"
